ds100,name,lat,lon,elevation_m
MGT,Gauting,48.0707134,11.3761886,588.0
BHN,Hohen Neuendorf (b Berlin),52.66865,13.2870408,57.0
WSTZ,Sanitz (b Rostock),54.0750292,12.3766833,52.0
BFD,Fredersdorf (b Berlin),52.5262465,13.7604458,59.0
KENR,Engers,50.4260015,7.5468561,73.0
FDH,Dorheim (Wetterau),50.3526848,8.7906172,130.0
LROD,Rodleben,51.8974718,12.2173582,75.0
FBOD,Bodenheim,49.9294023,8.3126916,87.0
FNAC,Nackenheim,49.9191752,8.341612,87.0
FNIR,Nierstein,49.8719462,8.3429015,91.0
FOHF,Osthofen,49.7053203,8.3260437,94.0
WPA,Parkentin,54.0812978,11.9784559,22.0
WGS,Groß Schwaß,54.0768375,12.0475371,40.0
KBEE,Bergheim (Erft),50.9518357,6.6457923,70.0
TUC,Bad Urach,48.4913209,9.3964125,467.0
TUCK,Bad Urach Ermstalklinik,48.4939949,9.387271,455.0
TDTUG,Dettingen Erms Gsaidt,48.5147867,9.3576099,417.0
TDTU,Dettingen Erms Mitte,48.5279307,9.3442951,399.0
TDTUL,Dettingen Erms Lehen,48.5292951,9.3371518,391.0
WKBM,Kühlungsborn Mitte,54.1416532,11.7534715,16.0
EMHD,Marbeck-Heiden,51.8097017,6.9059552,60.0
WSAG,Sagard,54.5234319,13.5637179,40.0
KALT,Altenahr,50.5157014,6.9897737,171.0
KMAY,Mayschoß,50.51735,7.0205202,140.0
KREC,Rech,50.5153535,7.0365792,144.0
HHXR,Höxter Rathaus,51.7725588,9.3818974,99.0
HGOH,Godelheim,51.7350956,9.3570159,108.0
RMW,Mannheim-Waldhof,49.5261774,8.4825676,96.0
NERL,Erlenbach am Main,49.8042932,9.1545853,128.0
WBL,Blankenberg (Meckl),53.7723504,11.7146716,26.0
WSGN,Schwerin-Görries,53.6092894,11.3849339,45.0
FBCH,Bacharach,50.0554626,7.7699825,107.0
MTSB,Trostberg,48.0246099,12.5555573,487.0
FRAN,Ranstadt,50.3565931,8.9832851,143.0
FBOK,Borken(Hess),51.0506561,9.2768089,187.0
FAST,Altenstadt (Hessen),50.2832996,8.9442243,124.0
KWAP,Walporzheim,50.5324573,7.0783384,126.0
KAHM,Ahrweiler Markt,50.5439307,7.0936563,132.0
BEHS,Eisenhüttenstadt,52.1479787,14.6583612,45.0
SOH,Oberbettingen-Hillesheim,50.2828535,6.6383612,392.0
